央视,#genre#
CCTV1,http://cfss.cc/ds/bfgd/qp.php?id=484&key=63456&Cf.m3u8
CCTV1,http://cfss.cc/ds/bfgd/qp.php?id=488&key=63456&Cf.m3u8
CCTV1,http://cfss.cc/ds/bfgd/qp.php?id=489&key=63456&Cf.m3u8
CCTV2,http://cfss.cc/ds/bfgd/qp.php?id=061&key=63456&Cf.m3u8
CCTV3,http://cfss.cc/ds/bfgd/qp.php?id=062&key=63456&Cf.m3u8
CCTV4,http://cfss.cc/ds/bfgd/qp.php?id=063&key=63456&Cf.m3u8
CCTV5,http://cfss.cc/ds/bfgd/qp.php?id=064&key=63456&Cf.m3u8
CCTV5+,http://cfss.cc/ds/bfgd/qp.php?id=246&key=63456&Cf.m3u8
CCTV6,http://cfss.cc/ds/bfgd/qp.php?id=065&key=63456&Cf.m3u8
CCTV7,http://cfss.cc/ds/bfgd/qp.php?id=127&key=63456&Cf.m3u8
CCTV8,http://cfss.cc/ds/bfgd/qp.php?id=066&key=63456&Cf.m3u8
CCTV9,http://cfss.cc/ds/bfgd/qp.php?id=128&key=63456&Cf.m3u8
CCTV10,http://cfss.cc/ds/bfgd/qp.php?id=129&key=63456&Cf.m3u8
CCTV11,http://cfss.cc/ds/bfgd/qp.php?id=130&key=63456&Cf.m3u8
CCTV12,http://cfss.cc/ds/bfgd/qp.php?id=131&key=63456&Cf.m3u8
CCTV13,http://cfss.cc/ds/bfgd/qp.php?id=067&key=63456&Cf.m3u8
CCTV14,http://cfss.cc/ds/bfgd/qp.php?id=132&key=63456&Cf.m3u8
CCTV15,http://cfss.cc/ds/bfgd/qp.php?id=133&key=63456&Cf.m3u8
CCTV17,http://cfss.cc/ds/bfgd/qp.php?id=204&key=63456&Cf.m3u8


卫视,#genre#
北京卫视,http://cfss.cc/ds/bfgd/qp.php?id=083&key=63456&Cf.m3u8
东方卫视,http://cfss.cc/ds/bfgd/qp.php?id=093&key=63456&Cf.m3u8
天津卫视,http://cfss.cc/ds/bfgd/qp.php?id=084&key=63456&Cf.m3u8
重庆卫视,http://cfss.cc/ds/bfgd/qp.php?id=107&key=63456&Cf.m3u8
黑龙江卫视,http://cfss.cc/ds/bfgd/qp.php?id=095&key=63456&Cf.m3u8
吉林卫视,http://cfss.cc/ds/bfgd/qp.php?id=097&key=63456&Cf.m3u8
辽宁卫视,http://cfss.cc/ds/bfgd/qp.php?id=141&key=63456&Cf.m3u8

深圳卫视,http://cfss.cc/ds/bfgd/qp.php?id=100&key=63456&Cf.m3u8
贵州卫视,http://cfss.cc/ds/bfgd/qp.php?id=101&key=63456&Cf.m3u8
湖北卫视,http://cfss.cc/ds/bfgd/qp.php?id=102&key=63456&Cf.m3u8
湖南卫视,http://cfss.cc/ds/bfgd/qp.php?id=086&key=63456&Cf.m3u8
四川卫视,http://cfss.cc/ds/bfgd/qp.php?id=103&key=63456&Cf.m3u8
河南卫视,http://cfss.cc/ds/bfgd/qp.php?id=104&key=63456&Cf.m3u8
河北卫视,http://cfss.cc/ds/bfgd/qp.php?id=108&key=63456&Cf.m3u8
山西卫视,http://cfss.cc/ds/bfgd/qp.php?id=109&key=63456&Cf.m3u8
内蒙古卫视,http://cfss.cc/ds/bfgd/qp.php?id=110&key=63456&Cf.m3u8
青海卫视,http://cfss.cc/ds/bfgd/qp.php?id=111&key=63456&Cf.m3u8
陕西卫视,http://cfss.cc/ds/bfgd/qp.php?id=512&key=63456&Cf.m3u8
江苏卫视,http://cfss.cc/ds/bfgd/qp.php?id=085&key=63456&Cf.m3u8
广西卫视,http://cfss.cc/ds/bfgd/qp.php?id=116&key=63456&Cf.m3u8
延边卫视,http://cfss.cc/ds/bfgd/qp.php?id=117&key=63456&Cf.m3u8
宁夏卫视,http://cfss.cc/ds/bfgd/qp.php?id=118&key=63456&Cf.m3u8
甘肃卫视,http://cfss.cc/ds/bfgd/qp.php?id=119&key=63456&Cf.m3u8
西藏卫视,http://cfss.cc/ds/bfgd/qp.php?id=121&key=63456&Cf.m3u8
农林卫视,http://cfss.cc/ds/bfgd/qp.php?id=122&key=63456&Cf.m3u8
兵团卫视,http://cfss.cc/ds/bfgd/qp.php?id=124&key=63456&Cf.m3u8
新疆卫视,http://cfss.cc/ds/bfgd/qp.php?id=150&key=63456&Cf.m3u8
广东卫视,http://cfss.cc/ds/bfgd/qp.php?id=092&key=63456&Cf.m3u8
安徽卫视,http://cfss.cc/ds/bfgd/qp.php?id=096&key=63456&Cf.m3u8

江西卫视,http://cfss.cc/ds/bfgd/qp.php?id=098&key=63456&Cf.m3u8
深圳卫视,http://cfss.cc/ds/bfgd/qp.php?id=100&key=63456&Cf.m3u8
河南卫视,http://cfss.cc/ds/bfgd/qp.php?id=339&key=63456&Cf.m3u8
海南卫视,http://cfss.cc/ds/bfgd/qp.php?id=473&key=63456&Cf.m3u8
云南卫视,http://cfss.cc/ds/bfgd/qp.php?id=482&key=63456&Cf.m3u8
东南卫视,http://cfss.cc/ds/bfgd/qp.php?id=483&key=63456&Cf.m3u8

CGTN,#genre#
CGTN,http://cfss.cc/ds/bfgd/qp.php?id=134&key=63456&Cf.m3u8
CGTN,http://cfss.cc/ds/bfgd/qp.php?id=305&key=63456&Cf.m3u8
CGTN西语,http://cfss.cc/ds/bfgd/qp.php?id=306&key=63456&Cf.m3u8
CGTN法语,http://cfss.cc/ds/bfgd/qp.php?id=307&key=63456&Cf.m3u8
CGTN阿语,http://cfss.cc/ds/bfgd/qp.php?id=308&key=63456&Cf.m3u8
CGTN俄语,http://cfss.cc/ds/bfgd/qp.php?id=309&key=63456&Cf.m3u8


少儿,#genre#
CETV1,http://cfss.cc/ds/bfgd/qp.php?id=135&key=63456&Cf.m3u8
CETV2,http://cfss.cc/ds/bfgd/qp.php?id=492&key=63456&Cf.m3u8

优优宝贝,http://cfss.cc/ds/bfgd/qp.php?id=153&key=63456&Cf.m3u8

卡酷少儿,http://cfss.cc/ds/bfgd/qp.php?id=106&key=63456&Cf.m3u8
金鹰卡通,http://cfss.cc/ds/bfgd/qp.php?id=350&key=63456&Cf.m3u8
山东教育卫视,http://cfss.cc/ds/bfgd/qp.php?id=112&key=63456&Cf.m3u8
休闲,#genre#
CCTV女性时尚,http://cfss.cc/ds/bfgd/qp.php?id=176&key=63456&Cf.m3u8
CCTV世界地理,http://cfss.cc/ds/bfgd/qp.php?id=177&key=63456&Cf.m3u8
CCTV电视指南,http://cfss.cc/ds/bfgd/qp.php?id=164&key=63456&Cf.m3u8
CCTV老故事,http://cfss.cc/ds/bfgd/qp.php?id=166&key=63456&Cf.m3u8
北京纪实科教,http://cfss.cc/ds/bfgd/qp.php?id=113&key=63456&Cf.m3u8

环球旅游,http://cfss.cc/ds/bfgd/qp.php?id=147&key=63456&Cf.m3u8
生态环境,http://cfss.cc/ds/bfgd/qp.php?id=149&key=63456&Cf.m3u8
发现之旅,http://cfss.cc/ds/bfgd/qp.php?id=151&key=63456&Cf.m3u8
收藏天下,http://cfss.cc/ds/bfgd/qp.php?id=155&key=63456&Cf.m3u8
中国特产,http://cfss.cc/ds/bfgd/qp.php?id=158&key=63456&Cf.m3u8
法制天地,http://cfss.cc/ds/bfgd/qp.php?id=162&key=63456&Cf.m3u8
国学频道,http://cfss.cc/ds/bfgd/qp.php?id=169&key=63456&Cf.m3u8
书画,http://cfss.cc/ds/bfgd/qp.php?id=180&key=63456&Cf.m3u8
茶频道,http://cfss.cc/ds/bfgd/qp.php?id=181&key=63456&Cf.m3u8
卫生健康,http://cfss.cc/ds/bfgd/qp.php?id=219&key=63456&Cf.m3u8
重温经典,http://cfss.cc/ds/bfgd/qp.php?id=635&key=63456&Cf.m3u8
重温经典,http://cfss.cc/ds/bfgd/qp.php?id=636&key=63456&Cf.m3u8
车迷频道,http://cfss.cc/ds/bfgd/qp.php?id=146&key=63456&Cf.m3u8
重庆汽摩,http://cfss.cc/ds/bfgd/qp.php?id=168&key=63456&Cf.m3u8
新视觉,http://cfss.cc/ds/bfgd/qp.php?id=249&key=63456&Cf.m3u8

先锋乒羽,http://cfss.cc/ds/bfgd/qp.php?id=349&key=63456&Cf.m3u8
快乐垂钓,http://cfss.cc/ds/bfgd/qp.php?id=228&key=63456&Cf.m3u8
四海钓鱼,http://cfss.cc/ds/bfgd/qp.php?id=229&key=63456&Cf.m3u8
财富天下,http://cfss.cc/ds/bfgd/qp.php?id=231&key=63456&Cf.m3u8
证卷服务,http://cfss.cc/ds/bfgd/qp.php?id=601&key=63456&Cf.m3u8
家庭理财,http://cfss.cc/ds/bfgd/qp.php?id=139&key=63456&Cf.m3u8



辽宁,#genre#
辽宁都市,http://cfss.cc/ds/bfgd/qp.php?id=610&key=63456&Cf.m3u8
辽宁北方,http://cfss.cc/ds/bfgd/qp.php?id=071&key=63456&Cf.m3u8
辽宁生活,http://cfss.cc/ds/bfgd/qp.php?id=073&key=63456&Cf.m3u8
辽宁体育,http://cfss.cc/ds/bfgd/qp.php?id=611&key=63456&Cf.m3u8
辽宁影视剧,http://cfss.cc/ds/bfgd/qp.php?id=070&key=63456&Cf.m3u8
辽宁教育青少年,http://cfss.cc/ds/bfgd/qp.php?id=075&key=63456&Cf.m3u8
辽宁经济,http://cfss.cc/ds/bfgd/qp.php?id=480&key=63456&Cf.m3u8
辽宁公共,http://cfss.cc/ds/bfgd/qp.php?id=481&key=63456&Cf.m3u8
北方导视,http://cfss.cc/ds/bfgd/qp.php?id=187&key=63456&Cf.m3u8
